Sim_id,stress_yeld_div_E,stress_max,stress_min,stress_wall,f
1,0.00125,210.557793040621,-3.90698324114835,200,0.7
2,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
3,0.00125,235.774134074578,-12.622408777834,216.6,0.8
4,0.00125,250.159386482921,-20.1082717997824,225,0.85
5,0.00125,264.309031856731,-29.6744013843799,233,0.9
6,0.00125,275.062217310892,-45.482543998266,,
7,0.00125,190.761846874171,41.5665601337014,,
